track,lat,lon
236_1_0,48.15798,17.052005
236_1_0,48.157511,17.052347
236_1_0,48.15735,17.052465
236_1_0,48.157276,17.052223
236_1_0,48.157247,17.052247
236_1_0,48.157135,17.052324
236_1_0,48.157247,17.052247
236_1_0,48.157276,17.052223
236_1_0,48.15735,17.052465
236_1_0,48.157277,17.052516
236_1_0,48.157026,17.052682
236_1_0,48.156863,17.052797
236_1_0,48.15648,17.053067
236_1_0,48.156462,17.053079
236_1_0,48.155939,17.053455
236_1_0,48.155731,17.053605
236_1_0,48.155117,17.054046
236_1_0,48.154769,17.054342
236_1_0,48.154638,17.05449
236_1_0,48.154566,17.054585
236_1_0,48.154394,17.054862
236_1_0,48.154323,17.055002
236_1_0,48.15424,17.055195
236_1_0,48.154184,17.055353
236_1_0,48.154066,17.055783
236_1_0,48.153741,17.057165
236_1_0,48.153493,17.058172
236_1_0,48.153486,17.058202
236_1_0,48.153349,17.058789
236_1_0,48.153275,17.059096
236_1_0,48.153249,17.059207
236_1_0,48.153152,17.059687
236_1_0,48.1531,17.059875
236_1_0,48.153065,17.059982
236_1_0,48.153011,17.060128
236_1_0,48.152935,17.060291
236_1_0,48.152851,17.060455
236_1_0,48.152791,17.060561
236_1_0,48.152686,17.060704
236_1_0,48.152549,17.060858
236_1_0,48.15252,17.060889
236_1_0,48.152436,17.060967
236_1_0,48.152348,17.061035
236_1_0,48.152256,17.061105
236_1_0,48.152078,17.061227
236_1_0,48.151213,17.061802
236_1_0,48.150507,17.062281
236_1_0,48.150433,17.062332
236_1_0,48.150317,17.062409
236_1_0,48.150131,17.062501
236_1_0,48.149985,17.062574
236_1_0,48.149838,17.062617
236_1_0,48.149373,17.062937
236_1_0,48.149222,17.063075
236_1_0,48.149064,17.06319
236_1_0,48.148986,17.063242
236_1_0,48.148835,17.06338
236_1_0,48.148725,17.063501
236_1_0,48.14863,17.06363
236_1_0,48.148578,17.06371
236_1_0,48.148513,17.063832
236_1_0,48.148453,17.063949
236_1_0,48.148326,17.064198
236_1_0,48.148278,17.064319
236_1_0,48.148246,17.064426
236_1_0,48.148215,17.064543
236_1_0,48.148202,17.064599
236_1_0,48.148192,17.064658
236_1_0,48.148178,17.06478
236_1_0,48.148175,17.065152
236_1_0,48.148174,17.06551
236_1_0,48.148171,17.066033
236_1_0,48.14817,17.066266
236_1_0,48.148166,17.06779
236_1_0,48.148156,17.069058
236_1_0,48.148141,17.070099
236_1_0,48.148124,17.070506
236_1_0,48.148114,17.070717
236_1_0,48.148095,17.070962
236_1_0,48.147987,17.072417
236_1_0,48.147953,17.073332
236_1_0,48.147937,17.073631
236_1_0,48.147909,17.073911
236_1_0,48.14788,17.074126
236_1_0,48.147839,17.074312
236_1_0,48.147773,17.074534
236_1_0,48.147687,17.074801
236_1_0,48.14767,17.074847
236_1_0,48.147616,17.074961
236_1_0,48.147549,17.075086
236_1_0,48.147481,17.075202
236_1_0,48.147359,17.075366
236_1_0,48.147221,17.075528
236_1_0,48.146848,17.075856
236_1_0,48.146727,17.075961
236_1_0,48.146658,17.076014
236_1_0,48.146494,17.076121
236_1_0,48.146415,17.076183
236_1_0,48.146248,17.076313
236_1_0,48.146172,17.076371
236_1_0,48.146124,17.076418
236_1_0,48.146051,17.07649
236_1_0,48.145937,17.076618
236_1_0,48.145851,17.076729
236_1_0,48.145743,17.076884
236_1_0,48.145692,17.076965
236_1_0,48.145646,17.077045
236_1_0,48.145576,17.077173
236_1_0,48.145507,17.077307
236_1_0,48.14523,17.077862
236_1_0,48.145134,17.078058
236_1_0,48.145063,17.078208
236_1_0,48.144901,17.07855
236_1_0,48.144776,17.078806
236_1_0,48.144279,17.079793
236_1_0,48.144198,17.079953
236_1_0,48.144071,17.080205
236_1_0,48.143956,17.080453
236_1_0,48.143833,17.08072
236_1_0,48.143719,17.080992
236_1_0,48.143623,17.081263
236_1_0,48.143525,17.081582
236_1_0,48.143437,17.081865
236_1_0,48.143358,17.082173
236_1_0,48.143284,17.082507
236_1_0,48.143224,17.082822
236_1_0,48.142869,17.084641
236_1_0,48.142823,17.084879
236_1_0,48.142666,17.08572
236_1_0,48.142581,17.086177
236_1_0,48.142564,17.086274
236_1_0,48.142212,17.088067
236_1_0,48.142164,17.088317
236_1_0,48.14215,17.088389
236_1_0,48.142094,17.088677
236_1_0,48.141977,17.089286
236_1_0,48.141836,17.090033
236_1_0,48.141723,17.090608
236_1_0,48.141616,17.091157
236_1_0,48.141509,17.091555
236_1_0,48.141467,17.091679
338_1067_0,48.159056,17.047021
338_1067_0,48.159008,17.047641
338_1067_0,48.158993,17.047937
338_1067_0,48.158995,17.047971
338_1067_0,48.159003,17.048012
338_1067_0,48.159036,17.048135
338_1067_0,48.159056,17.048197
338_1067_0,48.159064,17.048221
338_1067_0,48.15916,17.048512
338_1067_0,48.159215,17.048659
338_1067_0,48.159228,17.048695
338_1067_0,48.159237,17.048736
338_1067_0,48.159242,17.048775
338_1067_0,48.159241,17.048814
338_1067_0,48.159231,17.048914
338_1067_0,48.1592,17.049205
338_1067_0,48.159119,17.049946
338_1067_0,48.159087,17.050302
338_1067_0,48.15907,17.05042
338_1067_0,48.158999,17.05047
338_1067_0,48.158929,17.050519
338_1067_0,48.158762,17.050641
338_1067_0,48.15886,17.050959
338_1067_0,48.158922,17.050916
338_1067_0,48.159141,17.050769
338_1067_0,48.158922,17.050916
338_1067_0,48.15886,17.050959
338_1067_0,48.158947,17.051242
338_1067_0,48.158965,17.051301
338_1067_0,48.158895,17.051351
338_1067_0,48.158634,17.051535
338_1067_0,48.158428,17.051679
338_1067_0,48.157511,17.052347
338_1067_0,48.15735,17.052465
338_1067_0,48.157277,17.052516
338_1067_0,48.157026,17.052682
338_1067_0,48.156863,17.052797
338_1067_0,48.15648,17.053067
338_1067_0,48.156462,17.053079
338_1067_0,48.155939,17.053455
338_1067_0,48.155731,17.053605
338_1067_0,48.155117,17.054046
338_1067_0,48.154769,17.054342
338_1067_0,48.154638,17.05449
338_1067_0,48.154566,17.054585
338_1067_0,48.154394,17.054862
338_1067_0,48.154323,17.055002
338_1067_0,48.15424,17.055195
338_1067_0,48.154184,17.055353
338_1067_0,48.154066,17.055783
338_1067_0,48.153741,17.057165
338_1067_0,48.153493,17.058172
338_1067_0,48.153486,17.058202
338_1067_0,48.153349,17.058789
338_1067_0,48.153275,17.059096
338_1067_0,48.153249,17.059207
338_1067_0,48.153152,17.059687
338_1067_0,48.1531,17.059875
338_1067_0,48.153065,17.059982
338_1067_0,48.153011,17.060128
338_1067_0,48.152935,17.060291
338_1067_0,48.152851,17.060455
338_1067_0,48.152791,17.060561
338_1067_0,48.152686,17.060704
338_1067_0,48.152549,17.060858
338_1067_0,48.15252,17.060889
338_1067_0,48.152436,17.060967
338_1067_0,48.152348,17.061035
338_1067_0,48.152256,17.061105
338_1067_0,48.152078,17.061227
338_1067_0,48.151213,17.061802
338_1067_0,48.150507,17.062281
338_1067_0,48.150433,17.062332
338_1067_0,48.150317,17.062409
338_1067_0,48.150131,17.062501
338_1067_0,48.149985,17.062574
338_1067_0,48.149838,17.062617
338_1067_0,48.149373,17.062937
338_1067_0,48.149222,17.063075
338_1067_0,48.149064,17.06319
338_1067_0,48.148986,17.063242
338_1067_0,48.148835,17.06338
338_1067_0,48.148725,17.063501
338_1067_0,48.14863,17.06363
338_1067_0,48.148578,17.06371
338_1067_0,48.148513,17.063832
338_1067_0,48.148453,17.063949
338_1067_0,48.148326,17.064198
338_1067_0,48.148278,17.064319
338_1067_0,48.148246,17.064426
338_1067_0,48.148215,17.064543
338_1067_0,48.148202,17.064599
